Graph Name,Graph Type,Graph Size,Graph Seed,Trial,Trial Seed,Algorithm,Success,Path Length,Longest Path Length,Time (seconds),Generations,GBS Used
Random_n15_5,Random,15,592,9,35264931,SourceResolved-GA,1,15,15,0.0014946460723876953,0,True
Random_n15_5,Random,15,592,0,35264922,MS-SourceResolved-GA,1,15,15,0.012562751770019531,20,True
Random_n15_5,Random,15,592,1,35264923,MS-SourceResolved-GA,1,15,15,0.012634038925170898,20,True
Random_n15_5,Random,15,592,2,35264924,MS-SourceResolved-GA,1,15,15,0.013423681259155273,22,True
Random_n15_5,Random,15,592,3,35264925,MS-SourceResolved-GA,1,15,15,0.01373910903930664,22,True
Random_n15_5,Random,15,592,4,35264926,MS-SourceResolved-GA,1,15,15,0.013124704360961914,21,True
Random_n15_5,Random,15,592,5,35264927,MS-SourceResolved-GA,1,15,15,0.0077114105224609375,12,True
Random_n15_5,Random,15,592,6,35264928,MS-SourceResolved-GA,0,8,8,0.2823164463043213,150,True
Random_n15_5,Random,15,592,7,35264929,MS-SourceResolved-GA,1,15,15,0.0634007453918457,0,True
Random_n15_5,Random,15,592,8,35264930,MS-SourceResolved-GA,1,15,15,0.014378070831298828,23,True
Random_n15_5,Random,15,592,9,35264931,MS-SourceResolved-GA,1,15,15,0.006425619125366211,10,True
Random_n15_6,Random,15,692,0,35265922,SourceResolved-GA,0,15,15,0.29314303398132324,200,True
Random_n15_6,Random,15,692,1,35265923,SourceResolved-GA,0,9,9,0.29395508766174316,200,True
Random_n15_6,Random,15,692,2,35265924,SourceResolved-GA,0,13,13,0.2952539920806885,200,True
Random_n15_6,Random,15,692,3,35265925,SourceResolved-GA,0,13,13,0.29347848892211914,200,True
Random_n15_6,Random,15,692,4,35265926,SourceResolved-GA,0,8,8,0.29468631744384766,200,True
Random_n15_6,Random,15,692,5,35265927,SourceResolved-GA,0,13,13,0.2928130626678467,200,True
Random_n15_6,Random,15,692,6,35265928,SourceResolved-GA,0,15,15,0.2949817180633545,200,True
Random_n15_6,Random,15,692,7,35265929,SourceResolved-GA,0,15,15,0.29464054107666016,200,True
Random_n15_6,Random,15,692,8,35265930,SourceResolved-GA,0,15,15,0.2949032783508301,200,True
Random_n15_6,Random,15,692,9,35265931,SourceResolved-GA,0,11,11,0.29195261001586914,200,True
Random_n15_6,Random,15,692,0,35265922,MS-SourceResolved-GA,0,12,12,0.28443002700805664,150,True
Random_n15_6,Random,15,692,1,35265923,MS-SourceResolved-GA,0,10,10,0.284456729888916,150,True
Random_n15_6,Random,15,692,2,35265924,MS-SourceResolved-GA,0,10,10,0.28599119186401367,150,True
Random_n15_6,Random,15,692,3,35265925,MS-SourceResolved-GA,0,15,15,0.28633952140808105,150,True
Random_n15_6,Random,15,692,4,35265926,MS-SourceResolved-GA,0,14,14,0.2856922149658203,150,True
Random_n15_6,Random,15,692,5,35265927,MS-SourceResolved-GA,0,12,12,0.2844424247741699,150,True
Random_n15_6,Random,15,692,6,35265928,MS-SourceResolved-GA,0,10,10,0.2869417667388916,150,True
Random_n15_6,Random,15,692,7,35265929,MS-SourceResolved-GA,0,12,12,0.28471827507019043,150,True
Random_n15_6,Random,15,692,8,35265930,MS-SourceResolved-GA,0,10,10,0.2829935550689697,150,True
Random_n15_6,Random,15,692,9,35265931,MS-SourceResolved-GA,0,13,13,0.28316235542297363,150,True
Random_n15_7,Random,15,792,0,35266922,SourceResolved-GA,1,15,15,0.006003141403198242,3,True
Random_n15_7,Random,15,792,1,35266923,SourceResolved-GA,1,15,15,0.04795670509338379,31,True
Random_n15_7,Random,15,792,2,35266924,SourceResolved-GA,1,15,15,0.0014691352844238281,0,True
Random_n15_7,Random,15,792,3,35266925,SourceResolved-GA,1,15,15,0.025397300720214844,16,True
Random_n15_7,Random,15,792,4,35266926,SourceResolved-GA,1,15,15,0.01528310775756836,9,True
