n,graph_id,tau,sampler,schedule,accepted_samples,acceptance_rate%,success_rate%
20,8,0.95,quantum,single,49,9.8,100.0
20,8,0.95,quantum,multi,49,9.8,90.0
20,8,0.95,classical,single,69,13.8,70.0
20,8,0.95,classical,multi,69,13.8,100.0
20,8,0.9,quantum,single,38,7.6,90.0
20,8,0.9,quantum,multi,38,7.6,90.0
20,8,0.9,classical,single,49,9.8,100.0
20,8,0.9,classical,multi,49,9.8,70.0
20,8,0.8,quantum,single,25,5.0,90.0
20,8,0.8,quantum,multi,25,5.0,80.0
20,8,0.8,classical,single,36,7.2,90.0
20,8,0.8,classical,multi,36,7.2,90.0
20,21,1.0,quantum,single,54,10.8,100.0
20,21,1.0,quantum,multi,54,10.8,90.0
20,21,1.0,classical,single,91,18.2,100.0
20,21,1.0,classical,multi,91,18.2,100.0
20,21,0.95,quantum,single,34,6.8,100.0
20,21,0.95,quantum,multi,34,6.8,100.0
20,21,0.95,classical,single,56,11.2,100.0
20,21,0.95,classical,multi,56,11.2,100.0
20,21,0.9,quantum,single,29,5.8,80.0
20,21,0.9,quantum,multi,29,5.8,100.0
20,21,0.9,classical,single,40,8.0,80.0
20,21,0.9,classical,multi,40,8.0,90.0
20,21,0.8,quantum,single,23,4.6,100.0
20,21,0.8,quantum,multi,23,4.6,100.0
20,21,0.8,classical,single,23,4.6,90.0
20,21,0.8,classical,multi,23,4.6,100.0
20,26,1.0,quantum,single,71,14.2,90.0
20,26,1.0,quantum,multi,71,14.2,90.0
20,26,1.0,classical,single,82,16.4,90.0
20,26,1.0,classical,multi,82,16.4,100.0
20,26,0.95,quantum,single,54,10.8,70.0
20,26,0.95,quantum,multi,54,10.8,100.0
20,26,0.95,classical,single,60,12.0,70.0
20,26,0.95,classical,multi,60,12.0,100.0
20,26,0.9,quantum,single,42,8.4,50.0
20,26,0.9,quantum,multi,42,8.4,100.0
20,26,0.9,classical,single,49,9.8,90.0
20,26,0.9,classical,multi,49,9.8,80.0
20,26,0.8,quantum,single,28,5.6,70.0
20,26,0.8,quantum,multi,28,5.6,90.0
20,26,0.8,classical,single,29,5.8,90.0
20,26,0.8,classical,multi,29,5.8,80.0
20,16,1.0,quantum,single,73,14.6,70.0
20,16,1.0,quantum,multi,73,14.6,100.0
20,16,1.0,classical,single,65,13.0,60.0
20,16,1.0,classical,multi,65,13.0,80.0
20,16,0.95,quantum,single,45,9.0,90.0
20,16,0.95,quantum,multi,45,9.0,70.0
20,16,0.95,classical,single,45,9.0,80.0
20,16,0.95,classical,multi,45,9.0,100.0
20,16,0.9,quantum,single,28,5.6,90.0
20,16,0.9,quantum,multi,28,5.6,80.0
20,16,0.9,classical,single,29,5.8,40.0
20,16,0.9,classical,multi,29,5.8,60.0
20,16,0.8,quantum,single,19,3.8,60.0
20,16,0.8,quantum,multi,19,3.8,50.0
20,16,0.8,classical,single,19,3.8,70.0
20,16,0.8,classical,multi,19,3.8,80.0
20,15,1.0,quantum,single,59,11.8,70.0
20,15,1.0,quantum,multi,59,11.8,80.0
20,15,1.0,classical,single,81,16.2,70.0
20,15,1.0,classical,multi,81,16.2,70.0
20,15,0.95,quantum,single,46,9.2,60.0
20,15,0.95,quantum,multi,46,9.2,90.0
20,15,0.95,classical,single,59,11.8,30.0
20,15,0.95,classical,multi,59,11.8,80.0
20,15,0.9,quantum,single,33,6.6,50.0
20,15,0.9,quantum,multi,33,6.6,90.0
20,15,0.9,classical,single,39,7.8,70.0
20,15,0.9,classical,multi,39,7.8,80.0
20,15,0.8,quantum,single,25,5.0,60.0
20,15,0.8,quantum,multi,25,5.0,70.0
20,15,0.8,classical,single,33,6.6,70.0
20,15,0.8,classical,multi,33,6.6,90.0
20,7,1.0,quantum,single,72,14.4,70.0
20,7,1.0,quantum,multi,72,14.4,100.0
20,7,1.0,classical,single,92,18.4,50.0
20,7,1.0,classical,multi,92,18.4,70.0
20,7,0.95,quantum,single,58,11.6,40.0
20,7,0.95,quantum,multi,58,11.6,60.0
20,7,0.95,classical,single,65,13.0,60.0
20,7,0.95,classical,multi,65,13.0,80.0
20,7,0.9,quantum,single,36,7.2,30.0
20,7,0.9,quantum,multi,36,7.2,60.0
20,7,0.9,classical,single,42,8.4,60.0
20,7,0.9,classical,multi,42,8.4,80.0
20,7,0.8,quantum,single,25,5.0,50.0
20,7,0.8,quantum,multi,25,5.0,70.0
20,7,0.8,classical,single,33,6.6,70.0
20,7,0.8,classical,multi,33,6.6,60.0
20,9,1.0,quantum,single,80,16.0,60.0
20,9,1.0,quantum,multi,80,16.0,80.0
20,9,1.0,classical,single,96,19.2,50.0
20,9,1.0,classical,multi,96,19.2,80.0
20,9,0.95,quantum,single,55,11.0,60.0
20,9,0.95,quantum,multi,55,11.0,80.0
20,9,0.95,classical,single,62,12.4,50.0
20,9,0.95,classical,multi,62,12.4,80.0
20,9,0.9,quantum,single,42,8.4,60.0
20,9,0.9,quantum,multi,42,8.4,100.0
20,9,0.9,classical,single,47,9.4,60.0
20,9,0.9,classical,multi,47,9.4,70.0
20,9,0.8,quantum,single,26,5.2,90.0
20,9,0.8,quantum,multi,26,5.2,70.0
20,9,0.8,classical,single,36,7.2,50.0
20,9,0.8,classical,multi,36,7.2,70.0
20,13,1.0,quantum,single,55,11.0,70.0
20,13,1.0,quantum,multi,55,11.0,90.0
20,13,1.0,classical,single,102,20.4,70.0
20,13,1.0,classical,multi,102,20.4,100.0
20,13,0.95,quantum,single,32,6.4,60.0
20,13,0.95,quantum,multi,32,6.4,90.0
20,13,0.95,classical,single,76,15.2,80.0
20,13,0.95,classical,multi,76,15.2,90.0
20,13,0.9,quantum,single,29,5.8,90.0
20,13,0.9,quantum,multi,29,5.8,100.0
20,13,0.9,classical,single,54,10.8,90.0
20,13,0.9,classical,multi,54,10.8,100.0
20,13,0.8,quantum,single,21,4.2,70.0
20,13,0.8,quantum,multi,21,4.2,90.0
20,13,0.8,classical,single,32,6.4,50.0
20,13,0.8,classical,multi,32,6.4,90.0
20,20,1.0,quantum,single,62,12.4,90.0
20,20,1.0,quantum,multi,62,12.4,100.0
20,20,1.0,classical,single,89,17.8,70.0
20,20,1.0,classical,multi,89,17.8,90.0
20,20,0.95,quantum,single,43,8.6,60.0
20,20,0.95,quantum,multi,43,8.6,80.0
20,20,0.95,classical,single,63,12.6,90.0
20,20,0.95,classical,multi,63,12.6,80.0
20,20,0.9,quantum,single,33,6.6,80.0
20,20,0.9,quantum,multi,33,6.6,50.0
20,20,0.9,classical,single,42,8.4,80.0
20,20,0.9,classical,multi,42,8.4,90.0
20,20,0.8,quantum,single,21,4.2,70.0
20,20,0.8,quantum,multi,21,4.2,100.0
20,20,0.8,classical,single,30,6.0,80.0
20,20,0.8,classical,multi,30,6.0,80.0
20,27,1.0,quantum,single,71,14.2,80.0
20,27,1.0,quantum,multi,71,14.2,80.0
20,27,1.0,classical,single,88,17.6,40.0
20,27,1.0,classical,multi,88,17.6,90.0
20,27,0.95,quantum,single,48,9.6,60.0
20,27,0.95,quantum,multi,48,9.6,60.0
20,27,0.95,classical,single,62,12.4,60.0
20,27,0.95,classical,multi,62,12.4,70.0
20,27,0.9,quantum,single,41,8.2,80.0
20,27,0.9,quantum,multi,41,8.2,80.0
20,27,0.9,classical,single,47,9.4,80.0
20,27,0.9,classical,multi,47,9.4,90.0
20,27,0.8,quantum,single,24,4.8,80.0
20,27,0.8,quantum,multi,24,4.8,70.0
20,27,0.8,classical,single,35,7.0,70.0
20,27,0.8,classical,multi,35,7.0,80.0
30,7,1.0,quantum,single,86,17.2,90.0
30,7,1.0,quantum,multi,86,17.2,100.0
30,7,1.0,classical,single,116,23.2,100.0
30,7,1.0,classical,multi,116,23.2,100.0
30,7,0.95,quantum,single,58,11.6,100.0
30,7,0.95,quantum,multi,58,11.6,80.0
30,7,0.95,classical,single,84,16.8,100.0
30,7,0.95,classical,multi,84,16.8,100.0
30,7,0.9,quantum,single,46,9.2,90.0
30,7,0.9,quantum,multi,46,9.2,100.0
30,7,0.9,classical,single,69,13.8,100.0
30,7,0.9,classical,multi,69,13.8,90.0
30,7,0.8,quantum,single,30,6.0,70.0
30,7,0.8,quantum,multi,30,6.0,100.0
30,7,0.8,classical,single,41,8.2,100.0
30,7,0.8,classical,multi,41,8.2,90.0
30,1,1.0,quantum,single,101,20.2,70.0
30,1,1.0,quantum,multi,101,20.2,90.0
30,1,1.0,classical,single,121,24.2,90.0
30,1,1.0,classical,multi,121,24.2,100.0
30,1,0.95,quantum,single,68,13.6,100.0
30,1,0.95,quantum,multi,68,13.6,100.0
30,1,0.95,classical,single,85,17.0,100.0
30,1,0.95,classical,multi,85,17.0,90.0
30,1,0.9,quantum,single,61,12.2,90.0
30,1,0.9,quantum,multi,61,12.2,70.0
30,1,0.9,classical,single,61,12.2,100.0
30,1,0.9,classical,multi,61,12.2,100.0
30,1,0.8,quantum,single,30,6.0,100.0
30,1,0.8,quantum,multi,30,6.0,90.0
30,1,0.8,classical,single,43,8.6,90.0
30,1,0.8,classical,multi,43,8.6,100.0
20,17,1.0,quantum,single,75,15.0,90.0
20,17,1.0,quantum,multi,75,15.0,90.0
20,17,1.0,classical,single,104,20.8,100.0
20,17,1.0,classical,multi,104,20.8,100.0
20,17,0.95,quantum,single,55,11.0,90.0
20,17,0.95,quantum,multi,55,11.0,80.0
20,17,0.95,classical,single,72,14.4,100.0
20,17,0.95,classical,multi,72,14.4,100.0
20,17,0.9,quantum,single,40,8.0,90.0
20,17,0.9,quantum,multi,40,8.0,90.0
20,17,0.9,classical,single,54,10.8,90.0
20,17,0.9,classical,multi,54,10.8,70.0
20,17,0.8,quantum,single,24,4.8,100.0
20,17,0.8,quantum,multi,24,4.8,90.0
20,17,0.8,classical,single,32,6.4,90.0
20,17,0.8,classical,multi,32,6.4,90.0
20,23,1.0,quantum,single,59,11.8,80.0
20,23,1.0,quantum,multi,59,11.8,70.0
20,23,1.0,classical,single,96,19.2,60.0
20,23,1.0,classical,multi,96,19.2,70.0
20,23,0.95,quantum,single,42,8.4,60.0
20,23,0.95,quantum,multi,42,8.4,60.0
20,23,0.95,classical,single,68,13.6,50.0
20,23,0.95,classical,multi,68,13.6,90.0
20,23,0.9,quantum,single,28,5.6,60.0
20,23,0.9,quantum,multi,28,5.6,80.0
20,23,0.9,classical,single,52,10.4,70.0
20,23,0.9,classical,multi,52,10.4,70.0
20,23,0.8,quantum,single,17,3.4,60.0
20,23,0.8,quantum,multi,17,3.4,80.0
20,23,0.8,classical,single,34,6.8,70.0
20,23,0.8,classical,multi,34,6.8,80.0
30,22,1.0,quantum,single,94,18.8,100.0
30,22,1.0,quantum,multi,94,18.8,100.0
30,22,1.0,classical,single,123,24.6,90.0
30,22,1.0,classical,multi,123,24.6,100.0
30,22,0.95,quantum,single,65,13.0,80.0
30,22,0.95,quantum,multi,65,13.0,90.0
30,22,0.95,classical,single,80,16.0,80.0
30,22,0.95,classical,multi,80,16.0,90.0
30,22,0.9,quantum,single,44,8.8,100.0
30,22,0.9,quantum,multi,44,8.8,90.0
30,22,0.9,classical,single,58,11.6,80.0
30,22,0.9,classical,multi,58,11.6,80.0
30,22,0.8,quantum,single,26,5.2,90.0
30,22,0.8,quantum,multi,26,5.2,90.0
30,22,0.8,classical,single,31,6.2,70.0
30,22,0.8,classical,multi,31,6.2,100.0
30,12,1.0,quantum,single,98,19.6,100.0
30,12,1.0,quantum,multi,98,19.6,100.0
30,12,1.0,classical,single,127,25.4,100.0
30,12,1.0,classical,multi,127,25.4,90.0
30,12,0.95,quantum,single,69,13.8,90.0
30,12,0.95,quantum,multi,69,13.8,80.0
30,12,0.95,classical,single,92,18.4,80.0
30,12,0.95,classical,multi,92,18.4,90.0
30,12,0.9,quantum,single,53,10.6,80.0
30,12,0.9,quantum,multi,53,10.6,100.0
30,12,0.9,classical,single,62,12.4,100.0
30,12,0.9,classical,multi,62,12.4,90.0
30,12,0.8,quantum,single,40,8.0,80.0
30,12,0.8,quantum,multi,40,8.0,90.0
30,12,0.8,classical,single,38,7.6,100.0
30,12,0.8,classical,multi,38,7.6,60.0
30,17,1.0,quantum,single,87,17.4,80.0
30,17,1.0,quantum,multi,87,17.4,80.0
30,17,1.0,classical,single,121,24.2,70.0
30,17,1.0,classical,multi,121,24.2,100.0
30,17,0.95,quantum,single,57,11.4,50.0
30,17,0.95,quantum,multi,57,11.4,80.0
30,17,0.95,classical,single,85,17.0,70.0
30,17,0.95,classical,multi,85,17.0,70.0
30,17,0.9,quantum,single,41,8.2,50.0
30,17,0.9,quantum,multi,41,8.2,60.0
30,17,0.9,classical,single,56,11.2,90.0
30,17,0.9,classical,multi,56,11.2,80.0
30,17,0.8,quantum,single,25,5.0,70.0
30,17,0.8,quantum,multi,25,5.0,90.0
30,17,0.8,classical,single,35,7.0,90.0
30,17,0.8,classical,multi,35,7.0,80.0
30,29,1.0,quantum,single,104,20.8,80.0
30,29,1.0,quantum,multi,104,20.8,80.0
30,29,1.0,classical,single,115,23.0,80.0
30,29,1.0,classical,multi,115,23.0,60.0
30,29,0.95,quantum,single,84,16.8,70.0
30,29,0.95,quantum,multi,84,16.8,90.0
30,29,0.95,classical,single,78,15.6,50.0
30,29,0.95,classical,multi,78,15.6,100.0
30,29,0.9,quantum,single,60,12.0,70.0
30,29,0.9,quantum,multi,60,12.0,80.0
30,29,0.9,classical,single,59,11.8,80.0
30,29,0.9,classical,multi,59,11.8,70.0
30,29,0.8,quantum,single,35,7.0,90.0
30,29,0.8,quantum,multi,35,7.0,90.0
30,29,0.8,classical,single,36,7.2,60.0
30,29,0.8,classical,multi,36,7.2,80.0
30,15,1.0,quantum,single,91,18.2,90.0
30,15,1.0,quantum,multi,91,18.2,70.0
30,15,1.0,classical,single,112,22.4,80.0
30,15,1.0,classical,multi,112,22.4,100.0
30,15,0.95,quantum,single,62,12.4,80.0
30,15,0.95,quantum,multi,62,12.4,80.0
30,15,0.95,classical,single,75,15.0,80.0
30,15,0.95,classical,multi,75,15.0,90.0
30,15,0.9,quantum,single,47,9.4,100.0
30,15,0.9,quantum,multi,47,9.4,70.0
30,15,0.9,classical,single,57,11.4,60.0
30,15,0.9,classical,multi,57,11.4,80.0
30,15,0.8,quantum,single,28,5.6,90.0
30,15,0.8,quantum,multi,28,5.6,60.0
