Graph Name,Graph Size,graph_seed,sampler_rng_seed,num_shots,accepted_samples,acceptance_rate%,mean_pairs_theory,subgraph_size_distribution,code_version
Random_n20_7,20,842,842,500,92,18.4,2.4532,"4:4, 5:18, 6:33, 7:15, 8:12, 9:3, 10:6, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_8,20,942,942,500,94,18.8,2.4629,"4:1, 5:20, 6:41, 7:18, 8:6, 9:6, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_9,15,992,992,500,67,13.4,2.407,"4:3, 5:23, 6:24, 7:8, 8:7, 9:1, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_10,15,1092,1092,500,53,10.6,2.3192,"4:2, 5:18, 6:18, 7:7, 8:6, 9:1, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_11,15,1192,1192,500,68,13.6,2.8476,"4:4, 5:15, 6:33, 7:3, 8:10, 9:2, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_12,15,1292,1292,500,71,14.2,2.2368,"4:3, 5:15, 6:25, 7:10, 8:11, 9:4, 10:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_17,20,1842,1842,500,104,20.8,2.5297,"4:4, 5:21, 6:44, 7:15, 8:8, 9:6, 10:2, 11:3, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_18,20,1942,1942,500,87,17.4,2.4201,"4:1, 5:19, 6:36, 7:10, 8:18, 10:2, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_19,20,2042,2042,500,92,18.4,2.392,"4:2, 5:17, 6:44, 7:7, 8:17, 9:2, 10:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_20,20,2142,2142,500,89,17.8,2.6589,"4:1, 5:15, 6:40, 7:14, 8:10, 9:5, 10:2, 11:1, 12:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_33,15,3392,3392,500,56,11.2,2.3279,"4:3, 5:16, 6:31, 7:2, 8:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_34,15,3492,3492,500,89,17.8,2.7932,"3:1, 4:9, 5:27, 6:36, 7:8, 8:5, 9:1, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_35,15,3592,3592,500,55,11.0,2.0994,"4:5, 5:15, 6:18, 7:9, 8:7, 9:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_36,15,3692,3692,500,47,9.4,2.0164,"4:1, 5:10, 6:25, 7:3, 8:7, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_17,15,1792,1792,500,70,14.0,2.8611,"4:6, 5:23, 6:24, 7:7, 8:5, 9:5",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_18,15,1892,1892,500,108,21.6,3.3196,"4:5, 5:31, 6:43, 7:17, 8:6, 9:2, 10:4",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_19,15,1992,1992,500,57,11.4,2.1889,"4:1, 5:23, 6:22, 7:5, 8:5, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_20,15,2092,2092,500,80,16.0,2.5343,"4:2, 5:16, 6:37, 7:14, 8:7, 9:3, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
